Id,Year in Program,"Will you TA for Winter quarter?
","
.120","
.124","
.125","
.126","
.135","
.208","
.Instructional Center Tutor","
.300","
.318","
.327/424/425","
.381","
.394","
.402/403","
.407/409","
.424/425","
.428","
.442","
.444","
.461","
.465","
.493","
.505","
.524","
.545","
.335","List any specific significant time conflicts on Tuesdays/Thursdays, such as seminars in your subject","   If we cannot accommodate both a course and time request, which is more important?      ","Please include any additional comments here, including  RA/Fellowship details, any special understanding about what your TA job  will be, graduation plans, etc. "
60,4,Yes,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Preferred,Acceptable,Preferred,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Prefer to Avoid,Preferred,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,"If Francois would like me to be his TA, I would be happy to do so."
61,5,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"I have time conflicts on Tuesday and Thursdays for my algebra seminar, which is from 9:30 am to 1pm every Tuesday and Thursday, so I would really appreciate it if I don't have to teach long sections after this. Thank you!",Prioritize my time conflict request,"Please prioritize my time conflict, and it would be greatly appreciated if you could assign me to a course beyond the calculus series to help me expand my teaching horizon. Thank you for your kind arrangement! "
62,2,Yes,Acceptable,Acceptable,Preferred,Preferred,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"Tuesday 5pm Math circle, Thursday 4pm Current Topics Seminar. ",Prioritize my time conflict request,I would prefer the morning (8:30am) teaching time if possible.
63,2,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,"Tuesday AAG seminar 1:45-3:30, Number theory seminar (lower priority) 11-11:50am; prefer early morning assignments.",Prioritize my course request,
64,6,Yes,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,None,Prioritize my course request,
65,,Yes,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Acceptable,Preferred,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"I prefer early mornings, 8:30-10:30.",Prioritize my time conflict request,
66,2,Yes,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Preferred,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Acceptable,I generally try to attend seminars which go 2:30 - 3:30 on Tuesday and 3:00 - 4:00 on Thursday,Prioritize my time conflict request,"I don't mind much if I can't attend one/both of the seminars listed above, but please do not assign me morning sessions.  I strongly prefer TA sessions that start after 11:30, but 10:30 sessions are tolerable."
67,4,Yes,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Acceptable,Preferred,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,AAG Seminar: Tuesdays 1:45-3:30,Prioritize my time conflict request,
68,5,Yes,Preferred,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Unavailable before 10:00,Prioritize my time conflict request,
69,2,Yes,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Acceptable,Preferred,Acceptable,Prefer to Avoid,Preferred,Preferred,Preferred,Acceptable,Acceptable,Preferred,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,,Prioritize my time conflict request,"If possible, I have a strong preference towards TAing early in the mornings, more than TAing any particular course. Thank you!"
70,4,Yes,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Preferred,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,
71,2,Yes,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Preferred,Preferred,Acceptable,Preferred,Preferred,Preferred,Preferred,Acceptable,Preferred,Preferred,Prefer to Avoid,Acceptable,Preferred,Would like to take the EE Lean course (running Tuesdays/Thursdays 12:30-2:20 PM) ,Prioritize my time conflict request,
72,4,Yes,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,At the moment I don't have any Tuesday or Thursday conflicts,Prioritize my course request,
73,6,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,,,,,,,,,,,,,,,,,,,T/Thur 9:30-12:00,Prioritize my time conflict request,
74,1,Yes,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Preferred,Preferred,Acceptable,Preferred,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Acceptable,Preferred,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,,Prioritize my course request,
75,2,Yes,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,,Prioritize my course request,I have spoken with Jonathan Zhu about being the TA for manifolds this quarter and he has agreed.
76,3,Yes,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,"Regardless of course, I would love a room somewhat set up for active learning, if possible."
77,4,Yes,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,Prioritize my course request,
78,7,Yes,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesday 2:30 PM - 3:30 PM AG Seminar,Prioritize my time conflict request,
79,6,Yes,Acceptable,Preferred,Acceptable,Preferred,Acceptable,Prefer to Avoid,Preferred,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Tuesday 1:30 - 3:30,Prioritize my time conflict request,
80,2,Yes,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Preferred,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Preferred,Preferred,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,"Algebra and algebraic geometry seminars, as well as the new student representation theory seminar",Prioritize my course request,
81,4,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Acceptable,,Prioritize my course request,
82,5,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,,Preferred,Acceptable,Acceptable,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,,Prioritize my course request, grading positions are greatly preferred.
83,3,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,Acceptable,Preferred,Acceptable,Preferred,Preferred,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Preferred,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"Time conflicts as GSR: Tuesday 11-12:30, 3:30-5; Thursday 4:30-6.",Prioritize my course request,I've had a conversation with Rekha about TAing Math 318 long term.
84,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prioritize my course request,Continuing NSF GRFP fellowship.
85,3,Yes,Prefer to Avoid,Acceptable,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Preferred,I'm not a morning person. I most prefer early to mid afternoon. ,Prioritize my time conflict request,
86,6,Yes,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Acceptable,Preferred,Preferred,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,,Prioritize my course request,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
