,Autumn 2025 Assignment,Year in Program,"Will you TA for Autumn quarter?
","   If we cannot accommodate both a course and time request, which is more important?      ","
.120","
.124","
.125","
.126","
.134","
.208","
.Instructional Center Tutor","
.300","
.327","
.334","
.381","
.402","
.407","
.411","
.424","
.427","
.441","
.464","
.491","
.504","
.514","
.534","
.544","List any specific significant time conflicts on Tuesdays/Thursdays, such as seminars in your subject","Please include any additional comments here, including  RA/Fellowship details, any special understanding about what your TA job  will be, graduation plans, etc. "
61,124 EA & EB,3,Yes,Prioritize my time conflict request,Acceptable,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"Tuesday, 11am-1pm is unavailable",thank you!!
62,124 CE & CF,2,Yes,Prioritize my time conflict request,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Topology seminar 2:30-4:30pm on Tuesday,
63,124 GA & GB,2,Yes,Prioritize my time conflict request,Acceptable,Preferred,Prefer to Avoid,Preferred,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,"Later teaching times would be preferred, if possible."
64,120 AE & AF,3,Yes,Prioritize my time conflict request,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesday 10:30-2:30,
65,544 GRADE,5,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
66,120 AC & AD,3,Yes,Prioritize my course request,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,,"If doing an intro level course, I would love to have a room set up for active learning, if possible."
67,1/2 GSR & 124 GE,3,Yes,Prioritize my time conflict request,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Acceptable,Preferred,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,If possible I'd like to keep 10:30-11:20 available  on Tu/Th,
68,125 BG & BH,4,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Acceptable,Preferred,Acceptable,Preferred,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Acceptable,Acceptable,Acceptable,"I may need to join GSAS seminar on Thursdays 12:30-1:30, thank you!",I would prefer a grading job in the fall quarter. Thank you very much!
69,327 GRADE,6,Yes,Prioritize my course request,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Preferred,Acceptable,Acceptable,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Seminar 9:30-11:30,Hoping to graduate in march
70,MATH 207 ENGR,5,Yes,Prioritize my course request,,,,,,,,,,,,,,,,,,,,,,,,,I will be teaching MATH 207 in Rome this fall through the Engineering Italy study abroad program.
71,402A GRADE,4,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Preferred,Preferred,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesday Algebraic Geometry seminar 12pm to 3:30pm,
72,125 CE & CF,3,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
73,125 AC & AD,5,Yes,Prioritize my time conflict request,Prefer to Avoid,Acceptable,Preferred,Preferred,Preferred,Preferred,Prefer to Avoid,Preferred,,,Acceptable,,,,,,,Acceptable,Preferred,,,,,,
74,514 GRADE,5,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Preferred,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,,
75,125 BC & BD,3,Yes,Prioritize my time conflict request,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Preferred,Preferred,Acceptable,Preferred,Acceptable,Acceptable,Preferred,Acceptable,Preferred,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,I cannot teach Tuesday and Thursday from 1:45 to 3:30 due to AG seminar.,
76,124 BE & BF,2,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Preferred,Preferred,Preferred,Preferred,Preferred,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Thursdays 12:30-1:30,
77,125 CG & DE,5,Yes,Prioritize my time conflict request,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,"Number Theory Seminar Tuesday 11am-12pm (and possible lunch after to 1:30pm or so), generally prefer away from mornings but this is flexible.",
78,126 AE & AF,2,Yes,Prioritize my course request,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Algebraic geometry seminar and algebraic topology,
79,126 DA & DB,6,Yes,Prioritize my time conflict request,,Prefer to Avoid,Acceptable,Preferred,,Acceptable,,,,,,,,,,,,,,,,,,9:30-11:30,
80,RA,5,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,I was wondering if I could get a grading job (such as MATH 402) since I will be away for a workshop in Spain for the most of the quarter. Thank you for your time and consideration.
81,1/2 GSR & 124 BG,3,Yes,Prioritize my time conflict request,Acceptable,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Acceptable,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,"Tuesdays 3:30 - 5pm (faculty meetings), Thursdays 4:30-5:30 (Current Topics seminar)",It is my understanding that as the incoming GSR I'm supposed to get only a half teaching assignment.
82,208B GRADE,3,Yes,Prioritize my course request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,AAG Seminar: Tuesdays 145-330 ,"I would like to focus on my research as I have several ongoing projects and deadlines to beat, so I'd appreciate any upper-level grading assignment!"
83,208C GRADE,6,Yes,Prioritize my time conflict request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,I can’t work on Tuesday and Thursday from 9:30 to 12:00,
